Ticker,Sector,Observations,Clustering Score,MAE (HV),MAE (GARCH),MSE (HV),MSE (GARCH),RMSE (HV),RMSE (GARCH),QLIKE (HV),QLIKE (GARCH)
DIA,ETF,6465,1.615,0.372,0.365,0.249,0.215,0.499,0.463,0.484,0.447
SPY,ETF,6458,1.528,0.432,0.417,0.339,0.285,0.582,0.534,0.67,0.624
TLT,ETF,5780,1.507,0.434,0.424,0.248,0.225,0.498,0.474,0.424,0.414
XLF,ETF,6465,1.29,0.475,0.5,0.406,0.402,0.638,0.634,1.022,1.018
ARKK,ETF,2691,1.269,0.936,0.924,1.459,1.339,1.208,1.157,2.44,2.41
XLK,ETF,6465,1.219,0.594,0.575,0.603,0.523,0.776,0.723,1.366,1.341
GS,Finance,6463,1.069,0.646,0.663,0.741,0.68,0.861,0.825,1.85,1.828
BG,Commodity,6023,0.815,0.605,0.628,0.659,0.599,0.812,0.774,2.081,2.041
NEM,Commodity,6465,0.717,0.82,0.849,1.089,1.004,1.044,1.002,2.233,2.209
JPM,Finance,6463,0.697,0.601,0.643,0.67,0.682,0.818,0.826,1.628,1.609
SCHW,Finance,6463,0.611,0.786,0.843,1.138,1.089,1.067,1.043,2.18,2.16
USB,Finance,6463,0.609,0.769,0.778,1.016,0.956,1.008,0.978,2.041,2.016
PNC,Finance,6463,0.581,0.675,0.679,0.738,0.694,0.859,0.833,1.938,1.909
MRNA,Health Tech,1658,0.558,1.643,1.676,4.129,3.75,2.032,1.937,3.714,3.612
ADM,Commodity,6465,0.538,0.646,0.669,0.927,0.741,0.963,0.861,1.8,1.777
MOS,Commodity,6465,0.527,0.923,0.953,1.377,1.353,1.173,1.163,2.766,2.751
MS,Finance,6463,0.493,0.684,0.78,0.778,0.884,0.882,0.94,1.919,1.934
BAC,Finance,6463,0.391,0.674,0.903,0.796,1.04,0.892,1.02,1.893,1.996
CRSP,Health Tech,2196,0.286,1.252,1.336,2.624,2.579,1.62,1.606,3.439,3.428
WFC,Finance,6463,0.186,0.786,0.913,1.004,1.277,1.002,1.13,2.103,2.13
REGN,Health Tech,6464,0.183,0.68,0.909,0.93,1.258,0.964,1.122,2.104,2.122
FCX,Commodity,6465,0.168,1.016,1.207,1.619,1.974,1.272,1.405,2.647,2.719
ILMN,Health Tech,6277,0.166,1.021,1.363,1.827,2.695,1.352,1.642,2.841,2.87
VRTX,Health Tech,6464,0.119,0.688,0.969,0.921,1.223,0.96,1.106,1.973,2.052
AMD,Technology,6463,0.115,1.142,1.311,2.087,2.29,1.445,1.513,2.982,3.031
SLB,Commodity,6465,0.096,0.913,1.052,1.396,1.616,1.182,1.271,2.543,2.569
ORCL,Technology,6463,0.092,0.822,0.891,1.235,1.294,1.111,1.137,1.908,1.896
INTC,Technology,6463,0.092,1.073,1.144,2.039,2.367,1.428,1.539,2.437,2.448
CVX,Commodity,6465,0.072,0.62,0.714,0.621,0.652,0.788,0.807,1.715,1.775
NVCR,Health Tech,2460,0.065,2.043,1.791,8.377,4.492,2.894,2.119,3.896,3.732
BIIB,Health Tech,6464,0.043,0.959,1.391,4.058,4.496,2.014,2.12,2.603,2.522
GOLD,Commodity,4134,0.041,0.894,1.365,1.126,2.365,1.061,1.538,1.917,2.192
XOM,Commodity,6465,0.038,0.645,0.852,0.68,1.242,0.825,1.115,1.858,1.973
QQQ,ETF,6457,0.034,0.537,0.558,0.499,0.492,0.706,0.701,1.235,1.233
MSFT,Technology,6463,0.034,0.614,0.721,0.613,0.723,0.783,0.851,1.632,1.685
TSLA,Technology,3783,0.021,1.982,2.78,16.263,13.636,4.033,3.693,3.372,3.602
AXP,Finance,6463,0.02,0.776,0.813,1.076,1.059,1.038,1.029,1.924,1.907
IWM,ETF,6321,0.014,0.512,0.695,0.432,0.61,0.657,0.781,1.41,1.548
C,Finance,6463,0.008,0.738,2.449,1.017,6.35,1.009,2.52,2.001,2.868
DXCM,Health Tech,5095,0.004,1.749,2.294,21.488,21.798,4.635,4.669,2.879,3.008
EEM,ETF,5600,0.002,0.575,2.107,0.465,4.522,0.682,2.127,0.537,2.047
NVDA,Technology,6463,0.002,2.407,2.826,53.037,55.989,7.283,7.483,3.09,3.265
AVGO,Technology,4008,-0.0,2.302,3.301,59.679,58.09,7.725,7.622,2.594,2.861
CRM,Technology,5298,-0.0,0.848,1.54,1.278,3.22,1.131,1.794,2.166,2.481
AAPL,Technology,6463,-0.0,1.085,2.867,12.484,9.997,3.533,3.162,1.838,2.976
GOOGL,Technology,5258,-0.001,2.004,3.087,83.665,30.945,9.147,5.563,2.017,2.913
VXX,ETF,4140,-0.008,2.877,4.578,43.991,23.066,6.633,4.803,3.445,4.141
