,Sector,Clustering Score,delta QLIKE
DIA,ETF,1.615,0.07644628099173549
SPY,ETF,1.528,0.0686567164179105
TLT,ETF,1.507,0.02358490566037738
XLF,ETF,1.29,0.003913894324853232
ARKK,ETF,1.269,0.012295081967213035
XLK,ETF,1.219,0.01830161054172777
GS,Finance,1.069,0.011891891891891902
BG,Commodity,0.815,0.019221528111484882
NEM,Commodity,0.717,0.010747872816838344
JPM,Finance,0.697,0.011670761670761613
SCHW,Finance,0.611,0.009174311926605512
USB,Finance,0.609,0.012248897599216027
PNC,Finance,0.581,0.014963880288957645
MRNA,Health Tech,0.558,0.02746365105008074
ADM,Commodity,0.538,0.01277777777777785
MOS,Commodity,0.527,0.005422993492407854
MS,Finance,0.493,-0.007816571130797239
BAC,Finance,0.391,-0.05441098784997358
CRSP,Health Tech,0.286,0.0031986042454202153
WFC,Finance,0.186,-0.01283880171184008
REGN,Health Tech,0.183,-0.00855513307984781
FCX,Commodity,0.168,-0.027200604457876868
ILMN,Health Tech,0.166,-0.010207673354452627
VRTX,Health Tech,0.119,-0.04004054738976176
AMD,Technology,0.115,-0.016431924882629085
SLB,Commodity,0.096,-0.010224144710971215
ORCL,Technology,0.092,0.0062893081761006345
INTC,Technology,0.092,-0.004513746409519952
CVX,Commodity,0.072,-0.03498542274052468
NVCR,Health Tech,0.065,0.04209445585215598
BIIB,Health Tech,0.043,0.03111794083749535
GOLD,Commodity,0.041,-0.14345331246739704
XOM,Commodity,0.038,-0.061894510226049505
QQQ,ETF,0.034,0.001619433198380568
MSFT,Technology,0.034,-0.03247549019607853
TSLA,Technology,0.021,-0.06820877817319099
AXP,Finance,0.02,0.008835758835758786
IWM,ETF,0.014,-0.097872340425532
C,Finance,0.008,-0.4332833583208396
DXCM,Health Tech,0.004,-0.04480722473080931
EEM,ETF,0.002,-2.8119180633147116
NVDA,Technology,0.002,-0.05663430420711983
AVGO,Technology,-0.0,-0.10292983808789528
CRM,Technology,-0.0,-0.1454293628808864
AAPL,Technology,-0.0,-0.619151251360174
GOOGL,Technology,-0.001,-0.4442240951908775
VXX,ETF,-0.008,-0.2020319303338172
