Ticker,Sector,Clustering Score,delta MAE [pct],delta RMSE [pct],delta QLIKE [pct]
DIA,ETF,1.615,1.8817204301075288,7.214428857715426,7.644628099173549
SPY,ETF,1.528,3.472222222222225,8.24742268041236,6.86567164179105
TLT,ETF,1.507,2.30414746543779,4.81927710843374,2.358490566037738
XLF,ETF,1.29,-5.263157894736848,0.6269592476489034,0.3913894324853232
ARKK,ETF,1.269,1.282051282051283,4.221854304635756,1.2295081967213035
XLK,ETF,1.219,3.1986531986532016,6.829896907216501,1.8301610541727769
GS,Finance,1.069,-2.6315789473684235,4.181184668989551,1.1891891891891901
BG,Commodity,0.815,-3.801652892561987,4.6798029556650285,1.9221528111484882
NEM,Commodity,0.717,-3.5365853658536617,4.02298850574713,1.0747872816838344
JPM,Finance,0.697,-6.988352745424299,-0.9779951100244507,1.1670761670761614
SCHW,Finance,0.611,-7.251908396946558,2.2492970946579214,0.9174311926605512
USB,Finance,0.609,-1.1703511053316005,2.976190476190479,1.2248897599216026
PNC,Finance,0.581,-0.5925925925925931,3.0267753201397003,1.4963880288957645
MRNA,Health Tech,0.558,-2.008520998174067,4.675196850393699,2.746365105008074
ADM,Commodity,0.538,-3.5603715170278667,10.591900311526478,1.277777777777785
MOS,Commodity,0.527,-3.2502708559046494,0.8525149190110834,0.5422993492407854
MS,Finance,0.493,-14.035087719298241,-6.575963718820856,-0.7816571130797239
BAC,Finance,0.391,-33.97626112759644,-14.349775784753364,-5.441098784997358
CRSP,Health Tech,0.286,-6.709265175718855,0.8641975308641983,0.3198604245420215
WFC,Finance,0.186,-16.157760814249365,-12.774451097804379,-1.283880171184008
REGN,Health Tech,0.183,-33.67647058823529,-16.390041493775946,-0.855513307984781
FCX,Commodity,0.168,-18.799212598425203,-10.455974842767295,-2.720060445787687
ILMN,Health Tech,0.166,-33.49657198824683,-21.449704142011818,-1.0207673354452627
VRTX,Health Tech,0.119,-40.84302325581396,-15.208333333333348,-4.004054738976176
AMD,Technology,0.115,-14.798598949211913,-4.705882352941165,-1.6431924882629085
SLB,Commodity,0.096,-15.224534501642935,-7.529610829103213,-1.0224144710971215
ORCL,Technology,0.092,-8.394160583941614,-2.3402340234023424,0.6289308176100634
INTC,Technology,0.092,-6.616961789375578,-7.773109243697479,-0.4513746409519952
CVX,Commodity,0.072,-15.161290322580639,-2.4111675126903576,-3.498542274052468
NVCR,Health Tech,0.065,12.334801762114548,26.779543883897716,4.209445585215598
BIIB,Health Tech,0.043,-45.046923879040676,-5.2631578947368585,3.111794083749535
GOLD,Commodity,0.041,-52.68456375838926,-44.957587181903875,-14.345331246739704
XOM,Commodity,0.038,-32.09302325581395,-35.151515151515156,-6.189451022604951
QQQ,ETF,0.034,-3.9106145251396685,0.7082152974504257,0.1619433198380568
MSFT,Technology,0.034,-17.426710097719866,-8.684546615581091,-3.247549019607853
TSLA,Technology,0.021,-40.26236125126134,8.430448797421281,-6.820877817319099
AXP,Finance,0.02,-4.768041237113392,0.8670520231213986,0.8835758835758786
IWM,ETF,0.014,-35.742187499999986,-18.87366818873668,-9.7872340425532
C,Finance,0.008,-231.84281842818427,-149.7522299306244,-43.32833583208396
DXCM,Health Tech,0.004,-31.160663236134926,-0.7335490830636421,-4.480722473080931
EEM,ETF,0.002,-266.43478260869574,-211.87683284457472,-281.1918063314712
NVDA,Technology,0.002,-17.407561279601165,-2.746121103940674,-5.663430420711983
AVGO,Technology,-0.0,-43.397046046915726,1.3333333333333304,-10.29298380878953
CRM,Technology,-0.0,-81.60377358490567,-58.62068965517242,-14.54293628808864
AAPL,Technology,-0.0,-164.23963133640552,10.500990659496178,-61.9151251360174
GOOGL,Technology,-0.001,-54.04191616766468,39.18224554498743,-44.42240951908775
VXX,ETF,-0.008,-59.1240875912409,27.589326096788785,-20.20319303338172
